    0.991698430091716432E-01    0.304239914168918801E+01   -0.915323298260963369E+00   -0.839582650079801596E+00   -0.203253333080433940E+01   -0.423037312941219845E+01    0.336118944858743163E-01   -0.533698439052479046E-01    0.397088685578417644E+00    0.270888627508851287E+00    0.992408362727559812E+01    0.100138627686557147E+01    0.933810626309299317E-05   -0.299182484846801389E+01    0.256534829214474826E+03
    0.101997145662007682E+00    0.296088442908498450E+01   -0.885450231334329985E+00   -0.794822305407429042E+00   -0.194398779991698056E+01   -0.416419403992490622E+01    0.139567508408866559E-01   -0.940110473119464274E-01    0.404267467541686298E+00    0.266956409760525371E+00    0.100919101630797954E+02    0.993341227860148335E+00    0.101422028757069858E-04   -0.300157458827910339E+01    0.258232993463706293E+03
    0.952779736745679173E-01    0.295472803290674335E+01   -0.906906131274986649E+00   -0.784877513577855623E+00   -0.197334471805288558E+01   -0.415665761684092239E+01    0.474255132343337493E-01    0.159172408545138921E+00    0.401826402855896880E+00    0.268164570644635114E+00    0.100627738425570534E+02    0.998079619866041545E+00    0.101688941900458521E-04   -0.300212511122271675E+01    0.258394908638798825E+03
    0.108671278908179403E+00    0.299914459914674580E+01   -0.906789268532202541E+00   -0.794979902230741331E+00   -0.199782989632742058E+01   -0.420433775178886648E+01    0.358453108498828499E-01   -0.154971617759303015E+00    0.399725380089098747E+00    0.269060502905676957E+00    0.100037213399811744E+02    0.100214073562667050E+01    0.103608526988352104E-04   -0.300440138689162684E+01    0.258708163418045501E+03
    0.101165524340080637E+00    0.300831384413747394E+01   -0.909373670926539646E+00   -0.793723363548922478E+00   -0.202611732818995627E+01   -0.419566750676911848E+01    0.321113112277977564E-01    0.308068558367143197E+00    0.401257027762181639E+00    0.269326979088655827E+00    0.998482380014474913E+01    0.100852397635800095E+01    0.101962573484417497E-04   -0.300352271200089405E+01    0.259181733980888112E+03
    0.101280774825855957E+00    0.299995130482906269E+01   -0.902185854495233031E+00   -0.828744877196626817E+00   -0.197523469427150999E+01   -0.418311262028246400E+01   -0.615028299856845706E-02   -0.962715737589352472E-01    0.401363209314158809E+00    0.267215489106514270E+00    0.997874451531693296E+01    0.100089882891371640E+01    0.989852347359025585E-05   -0.299861143634463723E+01    0.259201545372371925E+03
    0.101297594953980052E+00    0.297301096489635341E+01   -0.886279893612670122E+00   -0.791256301890408409E+00   -0.198057625576114127E+01   -0.415522992405648584E+01    0.224079944751558457E-01    0.112865403672719466E+00    0.401953475020056961E+00    0.268652727058283414E+00    0.100787611042834317E+02    0.987754622091648771E+00    0.999993043147162681E-05   -0.299936592567806137E+01    0.259802605861695383E+03
    0.101507651951340705E+00    0.302272279578014391E+01   -0.905922243934295324E+00   -0.828828096729187891E+00   -0.202180441413407230E+01   -0.423814699320643395E+01   -0.191502606294857713E-01    0.543118548575804994E-02    0.399623833311941457E+00    0.269875985907964355E+00    0.998120106547903774E+01    0.100790644681297903E+01    0.100540582305424944E-04   -0.300175439496977914E+01    0.259901541839428148E+03
    0.978428462283567058E-01    0.300513665192434942E+01   -0.894841065182477635E+00   -0.804883509493562244E+00   -0.200266767546492730E+01   -0.417343783136274205E+01    0.306517410941822277E-01   -0.683687417388068042E-01    0.399819206307245933E+00    0.269900630667293751E+00    0.100791510755584710E+02    0.998667474751169792E+00    0.102067521078741476E-04   -0.300280512296072555E+01    0.259962684775088917E+03
    0.999999210454127763E-01    0.301894630883707649E+01   -0.909990186298321291E+00   -0.824964687728634516E+00   -0.200436248251504701E+01   -0.425724909233040627E+01    0.228438634475924829E-01   -0.308029534032989716E-01    0.394864738849434516E+00    0.273020056742090012E+00    0.999377376255463545E+01    0.995685329794201657E+00    0.983094486517036351E-05   -0.299727581122922881E+01    0.260698027162758024E+03
    0.106822707306534426E+00    0.299707251437137145E+01   -0.909915935085569672E+00   -0.788074341012562130E+00   -0.198522160423610039E+01   -0.418286136613382276E+01    0.966354074063957569E-02    0.228400989542020483E+00    0.402275690267737351E+00    0.267658648827559464E+00    0.100199543123109027E+02    0.100162398181080547E+01    0.100473656243273845E-04   -0.300128914152401904E+01    0.260720404107055401E+03
    0.992098235508223070E-01    0.303968457745984644E+01   -0.913263512982872783E+00   -0.842143328262208613E+00   -0.203532459191709503E+01   -0.424126730591965728E+01    0.167134710826832844E-01    0.229568258487390153E+00    0.397041845006109950E+00    0.271752124102144832E+00    0.999289591714227576E+01    0.100543574047924822E+01    0.974250933764653325E-05   -0.299837957888458195E+01    0.260737050435535991E+03
    0.101020382917448970E+00    0.297853541549380374E+01   -0.900224663986877616E+00   -0.782289940893290847E+00   -0.197774850071454722E+01   -0.417823861799569851E+01    0.102547497993654702E-01    0.170717815378480964E+00    0.402436036665882735E+00    0.268386637712270670E+00    0.100575449202258973E+02    0.991058380826447149E+00    0.102009901950599771E-04   -0.300199360714767227E+01    0.261002489539558894E+03
