   -0.359067854285240173E+01   -0.440353870212837421E+03
   -0.359844328973393690E+01   -0.439746436358806875E+03
   -0.360217046737670898E+01   -0.439486131993200786E+03
   -0.360952733755111677E+01   -0.439025832217900927E+03
   -0.361055937409400940E+01   -0.438966560716841514E+03
   -0.361185584664344805E+01   -0.438893850076363492E+03
   -0.361531050205230731E+01   -0.438709295349013246E+03
   -0.361532282792885962E+01   -0.438708660166430491E+03
   -0.361535693388891088E+01   -0.438706903448665685E+03
   -0.362422952651977548E+01   -0.438290015224341914E+03
   -0.362478965520858765E+01   -0.438266236444273773E+03
   -0.362877250313758859E+01   -0.438105195597638158E+03
   -0.363052833959059207E+01   -0.438038517113782632E+03
   -0.363194148827901353E+01   -0.437986691773392067E+03
   -0.363197427430429931E+01   -0.437985508499177570E+03
   -0.363273862714319495E+01   -0.437958164823414506E+03
   -0.363368340127805345E+01   -0.437925002791174109E+03
   -0.363492927551269540E+01   -0.437882328421684974E+03
   -0.363492927551269540E+01   -0.437882328421684974E+03
   -0.363562496304512006E+01   -0.437859013360755000E+03
   -0.363582003584158286E+01   -0.437852541046198326E+03
   -0.363582003584158286E+01   -0.437852541046198326E+03
   -0.363633330805480881E+01   -0.437835646697455104E+03
   -0.363633330805480881E+01   -0.437835646697455104E+03
   -0.363703536737634137E+01   -0.437812853767634408E+03
   -0.363703536737634137E+01   -0.437812853767634408E+03
   -0.363891721963882464E+01   -0.437753522489747183E+03
   -0.363891721963882464E+01   -0.437753522489747183E+03
   -0.363909852089681873E+01   -0.437747939937654621E+03
   -0.364403697252273551E+01   -0.437604537786092806E+03
   -0.364403697252273551E+01   -0.437604537786092806E+03
   -0.364624088859607021E+01   -0.437545703294121495E+03
   -0.364624088859607021E+01   -0.437545703294121495E+03
   -0.364635789394378662E+01   -0.437542665043520742E+03
   -0.364635789394378662E+01   -0.437542665043520742E+03
   -0.364638522902382878E+01   -0.437541956461243842E+03
   -0.364638522902382878E+01   -0.437541956461243842E+03
   -0.399681043940602310E+01   -0.437532530271612359E+03
   -0.399676441055289278E+01   -0.437532446458723712E+03
   -0.399676441055289278E+01   -0.437532446458723712E+03
   -0.399600242972373954E+01   -0.437531055414389471E+03
   -0.399557718038558951E+01   -0.437530276160852281E+03
   -0.399557718038558951E+01   -0.437530276160852281E+03
   -0.399519247412681588E+01   -0.437529569385695311E+03
   -0.398745372891426086E+01   -0.437514980681004715E+03
   -0.398745372891426086E+01   -0.437514980681004715E+03
   -0.398584689910387358E+01   -0.437511861538892049E+03
   -0.398584689910387358E+01   -0.437511861538892049E+03
   -0.398420394062995920E+01   -0.437508639717064568E+03
   -0.398420394062995920E+01   -0.437508639717064568E+03
   -0.398167554736137408E+01   -0.437503616721043329E+03
   -0.398156059980392474E+01   -0.437503386482129542E+03
   -0.398130384769115775E+01   -0.437502871616988500E+03
   -0.397989104828278339E+01   -0.437500023835513844E+03
   -0.397989104828278339E+01   -0.437500023835513844E+03
